Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2025-09-24,113328.6328125,113328.6328125,113986.2734375,111229.640625,112007.6640625,48044595085
2025-09-25,109049.2890625,109049.2890625,113541.0859375,108713.3984375,113330.1640625,75528654284
2025-09-26,109712.828125,109712.828125,110359.1953125,108728.9765625,109041.296875,57738288949
2025-09-27,109681.9453125,109681.9453125,109778.5,109144.296875,109707.140625,26308042910
2025-09-28,112122.640625,112122.640625,112375.484375,109236.9453125,109681.9453125,33371048505
2025-09-29,114400.3828125,114400.3828125,114473.5703125,111589.953125,112117.875,60000147466
2025-09-30,114056.0859375,114056.0859375,114836.6171875,112740.5625,114396.5234375,58986330258
2025-10-01,118648.9296875,118648.9296875,118648.9296875,113981.3984375,114057.59375,71328680132
2025-10-02,120681.2578125,120681.2578125,121086.40625,118383.15625,118652.3828125,71415163912
2025-10-03,122266.53125,122266.53125,123944.703125,119344.3125,120656.984375,83941392228
2025-10-04,122425.4296875,122425.4296875,122857.640625,121577.5703125,122267.46875,36769171735
2025-10-05,123513.4765625,123513.4765625,125559.2109375,122191.9609375,122419.671875,73689317763
2025-10-06,124752.53125,124752.53125,126198.0703125,123196.046875,123510.453125,72568881188
2025-10-07,121451.3828125,121451.3828125,125184.0234375,120681.96875,124752.140625,76149412513
2025-10-08,123354.8671875,123354.8671875,124167.09375,121119.1796875,121448.3515625,65354305286
2025-10-09,121705.5859375,121705.5859375,123739.34375,119812.03125,123337.0703125,74653009425
2025-10-10,113214.3671875,113214.3671875,122509.6640625,104582.4140625,121704.7421875,153125018868
2025-10-11,110807.8828125,110807.8828125,113429.7265625,109760.5625,113236.4296875,110236934340
2025-10-12,115169.765625,115169.765625,115805.0625,109715.5390625,110811.515625,93710414091
2025-10-13,115271.078125,115271.078125,116020.484375,113821.1875,115161.6796875,71582026739
2025-10-14,113118.6640625,113118.6640625,115502.8828125,110029.484375,115264.8828125,92212917403
2025-10-15,110783.1640625,110783.1640625,113622.3828125,110235.8359375,113113.96875,72574132855
2025-10-16,108186.0390625,108186.0390625,111990.8125,107537.03125,110782.171875,87306423067
2025-10-17,106467.7890625,106467.7890625,109235.8046875,103598.4296875,108179.1328125,99703051669
2025-10-18,107198.265625,107198.265625,107490.984375,106387.453125,106483.734375,37779905278
2025-10-19,108666.7109375,108666.7109375,109488.9921875,106157.7890625,107204.3125,47657008953
2025-10-20,110588.9296875,110588.9296875,111711.03125,107485.015625,108667.4453125,63507793085
2025-10-21,108476.890625,108476.890625,113996.34375,107534.75,110587.6328125,101194375480
2025-10-22,107688.5859375,107688.5859375,109115.1328125,106778.0,108491.53125,80807013218
2025-10-23,110069.7265625,110069.7265625,111288.59375,107548.4296875,107679.4375,54944076060
2025-10-24,111033.921875,111033.921875,111842.53125,109770.1484375,110069.3515625,48160816980
2025-10-25,111641.7265625,111641.7265625,111947.703125,110704.40625,111032.6171875,24707667305
2025-10-26,114472.4453125,114472.4453125,115260.90625,111268.484375,111639.0546875,41708524143
2025-10-27,114119.328125,114119.328125,116273.3125,113882.2890625,114479.8515625,61761358733
2025-10-28,112956.1640625,112956.1640625,116078.984375,112291.6796875,114129.0859375,64528066504
2025-10-29,110055.3046875,110055.3046875,113642.7265625,109368.71875,112921.328125,62192043469
2025-10-30,108305.546875,108305.546875,111612.3515625,106376.6875,110059.1953125,69673964814
2025-10-31,109556.1640625,109556.1640625,111031.8203125,108288.2734375,108304.4140625,60090359560
2025-11-01,110064.015625,110064.015625,110574.8984375,109372.953125,109558.625,25871668762
2025-11-02,110639.625,110639.625,111167.3125,109523.453125,110064.4296875,34284209459
2025-11-03,106547.5234375,106547.5234375,110764.9140625,105336.359375,110646.90625,72852006359
2025-11-04,101590.5234375,101590.5234375,107264.8828125,98962.0625,106541.421875,110967184773
2025-11-05,103891.8359375,103891.8359375,104534.703125,98989.9140625,101579.234375,77584934804
2025-11-06,101301.2890625,101301.2890625,104147.3046875,100336.8671875,103893.6640625,63932752861
2025-11-07,103372.40625,103372.40625,104052.9140625,99257.0546875,101286.2421875,92168030081
2025-11-08,102282.1171875,102282.1171875,103373.5625,101458.0390625,103371.703125,51446691095
2025-11-09,104719.640625,104719.640625,105418.3671875,101468.875,102278.984375,59679243013
2025-11-10,105996.59375,105996.59375,106564.6953125,104350.6484375,104723.7734375,69585887229
2025-11-11,102997.46875,102997.46875,107428.2578125,102457.328125,105996.859375,71130078574
2025-11-12,101663.1875,101663.1875,105297.234375,100836.6171875,103011.4375,64347179408
2025-11-13,99697.4921875,99697.4921875,104005.4921875,97988.71875,101674.1484375,101546815416
2025-11-14,94397.7890625,94397.7890625,99804.4296875,94000.734375,99694.703125,114346441890
2025-11-15,95549.1484375,95549.1484375,96728.46875,94420.46875,94420.46875,38500716654
2025-11-16,94177.078125,94177.078125,96564.1875,92971.1640625,95556.8671875,71086235862
2025-11-17,92093.875,92093.875,95928.3671875,91214.7578125,94180.875,94186165724
2025-11-18,92948.875,92948.875,93745.078125,89300.4609375,92094.53125,101333569062
2025-11-19,91465.9921875,91465.9921875,92946.1640625,88526.828125,92946.1640625,80350354656
2025-11-20,86631.8984375,86631.8984375,93025.0703125,86040.796875,91459.3515625,97970645638
2025-11-21,85090.6875,85090.6875,87380.8046875,80659.8125,86528.7734375,129157506112
2025-11-22,84648.359375,84648.359375,85503.0078125,83490.8984375,85098.5625,40793099246
2025-11-23,86805.0078125,86805.0078125,88038.46875,84641.7734375,84648.609375,58083435576
2025-11-24,88270.5625,88270.5625,89206.3359375,85272.1953125,86798.7734375,74433896110
2025-11-25,87341.890625,87341.890625,88457.3359375,86131.4296875,88269.9609375,64837343545
2025-11-26,87270.9140625,87270.9140625,88051.15625,86445.109375,87334.421875,55120097280
